id,parent_id,wbs,name,type,project_ref,department,owner,start,finish,duration_days,percent_complete,baseline_start,baseline_finish,constraint_type,constraint_date,source,notes
31,29,2.1.2,Builder approval - louvre screens,task,2814,projects,Builder,2026-07-06,2026-08-14,30,100,2026-07-06,2026-08-14,,,pebblestone,
32,28,2.2,Procurement,phase,2814,projects,Project Manager,2026-08-17,2026-11-06,60,10,2026-08-17,2026-11-06,,,pebblestone,
33,32,2.2.1,Purchase order - louvre system,task,2814,projects,Project Manager,2026-08-17,2026-08-21,5,60,2026-08-17,2026-08-21,,,pebblestone,
34,32,2.2.2,Louvre blade supply (long lead),task,2814,projects,Louvre Supplier,2026-08-24,2026-11-06,55,0,2026-08-24,2026-11-06,,,pebblestone,
35,28,2.3,Fabrication,phase,2814,fabrication,Workshop Crew,2026-11-09,2027-02-05,65,0,2026-11-09,2027-02-05,,,pebblestone,Competes with 2801 for the same workshop crew
36,28,2.4,Installation,phase,2814,construction,Install Crew B,2027-01-11,2027-04-30,80,0,2027-01-11,2027-04-30,,,pebblestone,
37,,3,Marina Retail Stage 2,project,2823,projects,Project Manager,2026-08-03,2027-06-25,235,6,2026-08-03,2027-06-25,,,pebblestone,Balustrades; awarded, design stage
38,37,3.1,Design,phase,2823,projects,Drafter,2026-08-03,2026-11-13,75,15,2026-08-03,2026-11-13,,,pebblestone,
39,37,3.2,Procurement,phase,2823,projects,Project Manager,2026-11-16,2027-02-12,65,0,2026-11-16,2027-02-12,,,pebblestone,
40,37,3.3,Fabrication,phase,2823,fabrication,Workshop Crew,2027-02-15,2027-04-23,50,0,2027-02-15,2027-04-23,,,pebblestone,
41,37,3.4,Installation,phase,2823,construction,Install Crew A,2027-03-15,2027-06-25,75,0,2027-03-15,2027-06-25,,,pebblestone,Overlaps 2801 install; the capacity question
